Team Name,roster_person_fullName,roster_person_id,_Null_,active,alternateCaptain,birthCity,birthCountry,birthDate,birthStateProvince,captain,currentAge,currentTeam_id,currentTeam_link,currentTeam_name,firstName,fullName,height,id,lastName,link,nationality,primaryNumber,primaryPosition_abbreviation,primaryPosition_code,primaryPosition_name,primaryPosition_type,rookie,rosterStatus,shootsCatches,weight
Anaheim Ducks,John Gibson,8476434,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Pittsburgh,USA,1993-07-14,PA,0,26,24,/api/v1/teams/24,Anaheim Ducks,John,John Gibson,"6' 2""",8476434,Gibson,/api/v1/people/8476434,USA,36,G,G,Goalie,Goalie,0,Y,L,207
Anaheim Ducks,Josh Manson,8476312,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,1,Hinsdale,USA,1991-10-07,IL,0,28,24,/api/v1/teams/24,Anaheim Ducks,Josh,Josh Manson,"6' 3""",8476312,Manson,/api/v1/people/8476312,CAN,42,D,D,Defenseman,Defenseman,0,Y,R,224
Anaheim Ducks,Korbinian Holzer,8473560,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Munich,DEU,1988-02-16,"",0,32,24,/api/v1/teams/24,Anaheim Ducks,Korbinian,Korbinian Holzer,"6' 3""",8473560,Holzer,/api/v1/people/8473560,DEU,5,D,D,Defenseman,Defenseman,0,Y,R,213
Anaheim Ducks,Max Jones,8479368,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Rochester,USA,1998-02-17,MI,0,21,24,/api/v1/teams/24,Anaheim Ducks,Max,Max Jones,"6' 1""",8479368,Jones,/api/v1/people/8479368,USA,49,LW,L,Left Wing,Forward,0,Y,L,220
Anaheim Ducks,Michael Del Zotto,8474584,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Stouffville,CAN,1990-06-24,ON,0,29,24,/api/v1/teams/24,Anaheim Ducks,Michael,Michael Del Zotto,"6' 0""",8474584,Del Zotto,/api/v1/people/8474584,CAN,44,D,D,Defenseman,Defenseman,0,Y,L,195
Anaheim Ducks,Nick Ritchie,8477941,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Orangeville,CAN,1995-12-05,ON,0,24,24,/api/v1/teams/24,Anaheim Ducks,Nick,Nick Ritchie,"6' 2""",8477941,Ritchie,/api/v1/people/8477941,CAN,37,LW,L,Left Wing,Forward,0,Y,L,230
Anaheim Ducks,Nicolas Deslauriers,8475235,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,LaSalle,CAN,1991-02-22,QC,0,28,24,/api/v1/teams/24,Anaheim Ducks,Nicolas,Nicolas Deslauriers,"6' 3""",8475235,Deslauriers,/api/v1/people/8475235,CAN,20,LW,L,Left Wing,Forward,0,Y,L,219
Anaheim Ducks,Ondrej Kase,8478131,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Kadan,CZE,1995-11-08,"",0,24,24,/api/v1/teams/24,Anaheim Ducks,Ondrej,Ondrej Kase,"6' 0""",8478131,Kase,/api/v1/people/8478131,CZE,25,RW,R,Right Wing,Forward,0,Y,R,190
Anaheim Ducks,Rickard Rakell,8476483,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Sundbyberg,SWE,1993-05-05,"",0,26,24,/api/v1/teams/24,Anaheim Ducks,Rickard,Rickard Rakell,"6' 0""",8476483,Rakell,/api/v1/people/8476483,SWE,67,LW,L,Left Wing,Forward,0,Y,R,196
Anaheim Ducks,Ryan Getzlaf,8470612,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Regina,CAN,1985-05-10,SK,1,34,24,/api/v1/teams/24,Anaheim Ducks,Ryan,Ryan Getzlaf,"6' 3""",8470612,Getzlaf,/api/v1/people/8470612,CAN,15,C,C,Center,Forward,0,Y,R,228
Anaheim Ducks,Ryan Miller,8468011,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,East Lansing,USA,1980-07-17,MI,0,39,24,/api/v1/teams/24,Anaheim Ducks,Ryan,Ryan Miller,"6' 2""",8468011,Miller,/api/v1/people/8468011,USA,30,G,G,Goalie,Goalie,0,Y,L,170
Anaheim Ducks,Sam Steel,8479351,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Ardrossan,CAN,1998-02-03,AB,0,22,24,/api/v1/teams/24,Anaheim Ducks,Sam,Sam Steel,"5' 11""",8479351,Steel,/api/v1/people/8479351,CAN,34,C,C,Center,Forward,1,Y,L,189
Anaheim Ducks,Troy Terry,8478873,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Denver,USA,1997-09-10,CO,0,22,24,/api/v1/teams/24,Anaheim Ducks,Troy,Troy Terry,"6' 0""",8478873,Terry,/api/v1/people/8478873,USA,61,RW,R,Right Wing,Forward,0,Y,R,180
Arizona Coyotes,Aaron Ness,8474604,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Roseau,USA,1990-05-18,MN,0,29,53,/api/v1/teams/53,Arizona Coyotes,Aaron,Aaron Ness,"5' 10""",8474604,Ness,/api/v1/people/8474604,USA,42,D,D,Defenseman,Defenseman,0,Y,L,184
Arizona Coyotes,Adin Hill,8478499,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Comox,CAN,1996-05-11,BC,0,23,53,/api/v1/teams/53,Arizona Coyotes,Adin,Adin Hill,"6' 6""",8478499,Hill,/api/v1/people/8478499,CAN,31,G,G,Goalie,Goalie,1,Y,L,202
Arizona Coyotes,Alex Goligoski,8471274,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Grand Rapids,USA,1985-07-30,MN,0,34,53,/api/v1/teams/53,Arizona Coyotes,Alex,Alex Goligoski,"5' 11""",8471274,Goligoski,/api/v1/people/8471274,USA,33,D,D,Defenseman,Defenseman,0,Y,L,185
Arizona Coyotes,Antti Raanta,8477293,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Rauma,FIN,1989-05-12,"",0,30,53,/api/v1/teams/53,Arizona Coyotes,Antti,Antti Raanta,"6' 0""",8477293,Raanta,/api/v1/people/8477293,FIN,32,G,G,Goalie,Goalie,0,Y,L,195
Arizona Coyotes,Brad Richardson,8470755,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Belleville,CAN,1985-02-04,ON,0,35,53,/api/v1/teams/53,Arizona Coyotes,Brad,Brad Richardson,"6' 0""",8470755,Richardson,/api/v1/people/8470755,CAN,15,C,C,Center,Forward,0,Y,L,190
Arizona Coyotes,Carl Soderberg,8471262,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Malmö,SWE,1985-10-12,"",0,34,53,/api/v1/teams/53,Arizona Coyotes,Carl,Carl Soderberg,"6' 3""",8471262,Soderberg,/api/v1/people/8471262,SWE,34,C,C,Center,Forward,0,Y,L,210
Arizona Coyotes,Christian Dvorak,8477989,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Palos,USA,1996-02-02,IL,0,24,53,/api/v1/teams/53,Arizona Coyotes,Christian,Christian Dvorak,"6' 0""",8477989,Dvorak,/api/v1/people/8477989,USA,18,C,C,Center,Forward,0,Y,L,195
Arizona Coyotes,Christian Fischer,8478432,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Chicago,USA,1997-04-15,IL,0,22,53,/api/v1/teams/53,Arizona Coyotes,Christian,Christian Fischer,"6' 2""",8478432,Fischer,/api/v1/people/8478432,USA,36,RW,R,Right Wing,Forward,0,Y,R,214
Arizona Coyotes,Clayton Keller,8479343,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Chesterfield,USA,1998-07-29,MO,0,21,53,/api/v1/teams/53,Arizona Coyotes,Clayton,Clayton Keller,"5' 10""",8479343,Keller,/api/v1/people/8479343,USA,9,RW,R,Right Wing,Forward,0,Y,L,170
Arizona Coyotes,Conor Garland,8478856,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Scituate,USA,1996-03-11,MA,0,23,53,/api/v1/teams/53,Arizona Coyotes,Conor,Conor Garland,"5' 10""",8478856,Garland,/api/v1/people/8478856,USA,83,RW,R,Right Wing,Forward,0,Y,R,165
Arizona Coyotes,Darcy Kuemper,8475311,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Saskatoon,CAN,1990-05-05,SK,0,29,53,/api/v1/teams/53,Arizona Coyotes,Darcy,Darcy Kuemper,"6' 5""",8475311,Kuemper,/api/v1/people/8475311,CAN,35,G,G,Goalie,Goalie,0,Y,L,215
Arizona Coyotes,Derek Stepan,8474613,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,1,Hastings,USA,1990-06-18,MN,0,29,53,/api/v1/teams/53,Arizona Coyotes,Derek,Derek Stepan,"6' 0""",8474613,Stepan,/api/v1/people/8474613,USA,21,C,C,Center,Forward,0,Y,R,196
Arizona Coyotes,Ilya Lyubushkin,8480950,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Moscow,RUS,1994-04-06,"",0,25,53,/api/v1/teams/53,Arizona Coyotes,Ilya,Ilya Lyubushkin,"6' 2""",8480950,Lyubushkin,/api/v1/people/8480950,RUS,46,D,D,Defenseman,Defenseman,0,Y,R,201
Arizona Coyotes,Jakob Chychrun,8479345,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Boca Raton,USA,1998-03-31,FL,0,21,53,/api/v1/teams/53,Arizona Coyotes,Jakob,Jakob Chychrun,"6' 2""",8479345,Chychrun,/api/v1/people/8479345,USA,6,D,D,Defenseman,Defenseman,0,Y,L,210
Arizona Coyotes,Jason Demers,8474218,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Dorval,CAN,1988-06-09,QC,0,31,53,/api/v1/teams/53,Arizona Coyotes,Jason,Jason Demers,"6' 1""",8474218,Demers,/api/v1/people/8474218,CAN,55,D,D,Defenseman,Defenseman,0,I,R,195
Arizona Coyotes,Jordan Oesterle,8477851,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Dearborn Heights,USA,1992-06-25,MI,0,27,53,/api/v1/teams/53,Arizona Coyotes,Jordan,Jordan Oesterle,"6' 0""",8477851,Oesterle,/api/v1/people/8477851,USA,82,D,D,Defenseman,Defenseman,0,Y,L,182
Arizona Coyotes,Lawson Crouse,8478474,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Mt. Brydges,CAN,1997-06-23,ON,0,22,53,/api/v1/teams/53,Arizona Coyotes,Lawson,Lawson Crouse,"6' 4""",8478474,Crouse,/api/v1/people/8478474,CAN,67,LW,L,Left Wing,Forward,0,Y,L,220
Arizona Coyotes,Michael Grabner,8473546,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Villach,AUT,1987-10-05,"",0,32,53,/api/v1/teams/53,Arizona Coyotes,Michael,Michael Grabner,"6' 1""",8473546,Grabner,/api/v1/people/8473546,AUT,40,LW,L,Left Wing,Forward,0,Y,L,188
Arizona Coyotes,Nick Schmaltz,8477951,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Madison,USA,1996-02-23,WI,0,23,53,/api/v1/teams/53,Arizona Coyotes,Nick,Nick Schmaltz,"6' 0""",8477951,Schmaltz,/api/v1/people/8477951,USA,8,C,C,Center,Forward,0,Y,R,177
Arizona Coyotes,Niklas Hjalmarsson,8471769,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,1,Eksjo,SWE,1987-06-06,"",0,32,53,/api/v1/teams/53,Arizona Coyotes,Niklas,Niklas Hjalmarsson,"6' 3""",8471769,Hjalmarsson,/api/v1/people/8471769,SWE,4,D,D,Defenseman,Defenseman,0,Y,L,197
Arizona Coyotes,Oliver Ekman-Larsson,8475171,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Karlskrona,SWE,1991-07-17,"",1,28,53,/api/v1/teams/53,Arizona Coyotes,Oliver,Oliver Ekman-Larsson,"6' 2""",8475171,Ekman-Larsson,/api/v1/people/8475171,SWE,23,D,D,Defenseman,Defenseman,0,Y,L,200
Arizona Coyotes,Phil Kessel,8473548,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Madison,USA,1987-10-02,WI,0,32,53,/api/v1/teams/53,Arizona Coyotes,Phil,Phil Kessel,"6' 0""",8473548,Kessel,/api/v1/people/8473548,USA,81,RW,R,Right Wing,Forward,0,Y,R,202
Arizona Coyotes,Robbie Russo,8476418,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Westmont,USA,1993-02-15,IL,0,27,53,/api/v1/teams/53,Arizona Coyotes,Robbie,Robbie Russo,"6' 0""",8476418,Russo,/api/v1/people/8476418,USA,5,D,D,Defenseman,Defenseman,0,Y,R,191
Arizona Coyotes,Taylor Hall,8475791,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Calgary,CAN,1991-11-14,AB,0,28,53,/api/v1/teams/53,Arizona Coyotes,Taylor,Taylor Hall,"6' 1""",8475791,Hall,/api/v1/people/8475791,CAN,91,LW,L,Left Wing,Forward,0,Y,L,205
Arizona Coyotes,Vinnie Hinostroza,8476994,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Chicago,USA,1994-04-03,IL,0,25,53,/api/v1/teams/53,Arizona Coyotes,Vinnie,Vinnie Hinostroza,"5' 9""",8476994,Hinostroza,/api/v1/people/8476994,USA,13,RW,R,Right Wing,Forward,0,Y,R,173
Boston Bruins,Anders Bjork,8478075,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Mequon,USA,1996-08-05,WI,0,23,6,/api/v1/teams/6,Boston Bruins,Anders,Anders Bjork,"6' 0""",8478075,Bjork,/api/v1/people/8478075,USA,10,LW,L,Left Wing,Forward,0,Y,L,190
Boston Bruins,Anton Blidh,8477320,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Molnlycke,SWE,1995-03-14,"",0,24,6,/api/v1/teams/6,Boston Bruins,Anton,Anton Blidh,"6' 0""",8477320,Blidh,/api/v1/people/8477320,SWE,81,LW,L,Left Wing,Forward,1,Y,L,201
Boston Bruins,Brad Marchand,8473419,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Halifax,CAN,1988-05-11,NS,0,31,6,/api/v1/teams/6,Boston Bruins,Brad,Brad Marchand,"5' 9""",8473419,Marchand,/api/v1/people/8473419,CAN,63,LW,L,Left Wing,Forward,0,Y,L,181
Boston Bruins,Brandon Carlo,8478443,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Colorado Springs,USA,1996-11-26,CO,0,23,6,/api/v1/teams/6,Boston Bruins,Brandon,Brandon Carlo,"6' 5""",8478443,Carlo,/api/v1/people/8478443,USA,25,D,D,Defenseman,Defenseman,0,Y,R,212
Boston Bruins,Charlie Coyle,8475745,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,E. Weymouth,USA,1992-03-02,MA,0,27,6,/api/v1/teams/6,Boston Bruins,Charlie,Charlie Coyle,"6' 3""",8475745,Coyle,/api/v1/people/8475745,USA,13,C,C,Center,Forward,0,Y,R,220
Boston Bruins,Charlie McAvoy,8479325,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Long Beach,USA,1997-12-21,NY,0,22,6,/api/v1/teams/6,Boston Bruins,Charlie,Charlie McAvoy,"6' 0""",8479325,McAvoy,/api/v1/people/8479325,USA,73,D,D,Defenseman,Defenseman,0,Y,R,208
Boston Bruins,Chris Wagner,8475780,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Walpole,USA,1991-05-27,MA,0,28,6,/api/v1/teams/6,Boston Bruins,Chris,Chris Wagner,"6' 0""",8475780,Wagner,/api/v1/people/8475780,USA,14,RW,R,Right Wing,Forward,0,Y,R,198
Boston Bruins,Connor Clifton,8477365,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Long Branch,USA,1995-04-28,NJ,0,24,6,/api/v1/teams/6,Boston Bruins,Connor,Connor Clifton,"5' 11""",8477365,Clifton,/api/v1/people/8477365,USA,75,D,D,Defenseman,Defenseman,1,I,R,175
Boston Bruins,Danton Heinen,8478046,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Langley,CAN,1995-07-05,BC,0,24,6,/api/v1/teams/6,Boston Bruins,Danton,Danton Heinen,"6' 1""",8478046,Heinen,/api/v1/people/8478046,CAN,43,C,C,Center,Forward,0,Y,L,188
Boston Bruins,David Krejci,8471276,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,1,Sternberk,CZE,1986-04-28,"",0,33,6,/api/v1/teams/6,Boston Bruins,David,David Krejci,"6' 0""",8471276,Krejci,/api/v1/people/8471276,CZE,46,C,C,Center,Forward,0,Y,R,188
Boston Bruins,David Pastrnak,8477956,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Havirov,CZE,1996-05-25,"",0,23,6,/api/v1/teams/6,Boston Bruins,David,David Pastrnak,"6' 0""",8477956,Pastrnak,/api/v1/people/8477956,CZE,88,RW,R,Right Wing,Forward,0,Y,R,194
Boston Bruins,Jake DeBrusk,8478498,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Edmonton,CAN,1996-10-17,AB,0,23,6,/api/v1/teams/6,Boston Bruins,Jake,Jake DeBrusk,"6' 0""",8478498,DeBrusk,/api/v1/people/8478498,CAN,74,LW,L,Left Wing,Forward,0,Y,L,188
Boston Bruins,Jaroslav Halak,8470860,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Bratislava,SVK,1985-05-13,"",0,34,6,/api/v1/teams/6,Boston Bruins,Jaroslav,Jaroslav Halak,"5' 11""",8470860,Halak,/api/v1/people/8470860,SVK,41,G,G,Goalie,Goalie,0,Y,L,185
Boston Bruins,Joakim Nordstrom,8475807,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Stockholm,SWE,1992-02-25,"",0,27,6,/api/v1/teams/6,Boston Bruins,Joakim,Joakim Nordstrom,"6' 1""",8475807,Nordstrom,/api/v1/people/8475807,SWE,20,C,C,Center,Forward,0,Y,L,194
Boston Bruins,John Moore,8475186,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Winnetka,USA,1990-11-19,IL,0,29,6,/api/v1/teams/6,Boston Bruins,John,John Moore,"6' 2""",8475186,Moore,/api/v1/people/8475186,USA,27,D,D,Defenseman,Defenseman,0,Y,L,210
Boston Bruins,Karson Kuhlman,8480901,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Esko,USA,1995-09-26,MN,0,24,6,/api/v1/teams/6,Boston Bruins,Karson,Karson Kuhlman,"5' 11""",8480901,Kuhlman,/api/v1/people/8480901,USA,83,C,C,Center,Forward,1,Y,R,185
